watched_or_not,participant_response
watched,respond_no
watched,respond_no
not watched,respond_yes
watched,respond_yes
not watched,respond_no
watched,respond_no
watched,respond_no
not watched,respond_yes
not watched,respond_yes
not watched,respond_yes
not watched,respond_yes
not watched,respond_no
not watched,respond_yes
watched,respond_yes
watched,respond_yes
not watched,respond_yes
watched,respond_no
not watched,respond_no
not watched,respond_yes
watched,respond_no
watched,respond_yes
watched,respond_no
not watched,respond_yes
not watched,respond_no
watched,respond_yes
not watched,respond_yes
not watched,respond_no
not watched,respond_yes
watched,respond_no
not watched,respond_no
not watched,respond_yes
watched,respond_yes
watched,respond_yes
watched,respond_yes
watched,respond_yes
watched,respond_no
watched,respond_yes
watched,respond_yes
watched,respond_no
not watched,respond_yes
not watched,respond_yes
not watched,respond_yes
not watched,respond_no
not watched,respond_yes
not watched,respond_yes
watched,respond_yes
not watched,respond_no
not watched,respond_no
watched,respond_yes
not watched,respond_no
not watched,respond_no
watched,respond_yes
not watched,respond_yes
watched,respond_no
watched,respond_no
watched,respond_yes
not watched,respond_yes
not watched,respond_no
not watched,respond_yes
watched,respond_no
watched,respond_yes
watched,respond_yes
not watched,respond_yes
not watched,respond_yes
not watched,respond_yes
watched,respond_no
not watched,respond_no
watched,respond_no
watched,respond_yes
watched,respond_no
watched,respond_yes
not watched,respond_yes
watched,respond_no
watched,respond_yes
watched,respond_no
watched,respond_no
not watched,respond_no
not watched,respond_yes
not watched,respond_no
watched,respond_yes
not watched,respond_yes
not watched,respond_no
watched,respond_no
watched,respond_yes
not watched,respond_yes
not watched,respond_no
watched,respond_no
watched,respond_no
not watched,respond_no
watched,respond_yes
not watched,respond_yes
not watched,respond_no
watched,respond_no
not watched,respond_yes
not watched,respond_no
watched,respond_no
watched,respond_yes
watched,respond_yes
not watched,respond_yes
not watched,respond_no
not watched,respond_no
not watched,respond_yes
watched,respond_no
not watched,respond_no
watched,respond_no
watched,respond_yes
watched,respond_yes
watched,respond_no
not watched,respond_yes
watched,respond_yes
not watched,respond_no
watched,respond_no
